survey_q,origin,horizon_quarters,endpoint,maturity_vintage,target_annualized_pct
1997Q3,1997Q2,2,1997Q4,1998Q1,2.0503770684814016
1997Q3,1997Q2,4,1998Q2,1998Q3,1.6254291725335102
1997Q4,1997Q3,1,1997Q4,1998Q1,2.087394447181512
1997Q4,1997Q3,2,1998Q1,1998Q2,1.291425899133103
1997Q4,1997Q3,4,1998Q3,1998Q4,1.5969099771440176
1998Q1,1997Q4,1,1998Q1,1998Q2,0.4954573510846938
1998Q1,1997Q4,2,1998Q2,1998Q3,1.2429293590438872
1998Q1,1997Q4,4,1998Q4,1999Q1,1.547279102509369
1998Q2,1998Q1,1,1998Q2,1998Q3,1.9904013670030807
1998Q2,1998Q1,2,1998Q3,1998Q4,1.9023940551549323
1998Q2,1998Q1,4,1999Q1,1999Q2,1.6660629041482522
1998Q3,1998Q2,1,1998Q3,1998Q4,1.814386743306784
1998Q3,1998Q2,2,1998Q4,1999Q1,1.851628845974851
1998Q3,1998Q2,4,1999Q2,1999Q3,2.091828115452282
1998Q4,1998Q3,1,1998Q4,1999Q1,1.8888709486429178
1998Q4,1998Q3,2,1999Q1,1999Q2,1.5969422178473414
1998Q4,1998Q3,4,1999Q3,1999Q4,2.32780753459772
1999Q1,1998Q4,1,1999Q1,1999Q2,1.4699631156799953
1999Q1,1998Q4,2,1999Q2,1999Q3,2.4976502864021866
1999Q1,1998Q4,4,1999Q4,2000Q1,2.622001806811469
1999Q2,1999Q1,1,1999Q2,1999Q3,3.525337457124378
1999Q2,1999Q1,2,1999Q3,1999Q4,3.0586728513480987
1999Q2,1999Q1,4,2000Q1,2000Q2,3.1757774656645585
1999Q3,1999Q2,1,1999Q3,1999Q4,2.5920082455718196
1999Q3,1999Q2,2,1999Q4,2000Q1,2.746353327220752
1999Q3,1999Q2,4,2000Q2,2000Q3,3.2507467786170805
1999Q4,1999Q3,1,1999Q4,2000Q1,2.900698408869684
1999Q4,1999Q3,2,2000Q1,2000Q2,3.4592319853206543
1999Q4,1999Q3,4,2000Q3,2000Q4,3.469595556225441
2000Q1,1999Q4,1,2000Q1,2000Q2,4.017181172276163
2000Q1,1999Q4,2,2000Q2,2000Q3,3.795725414747153
2000Q1,1999Q4,4,2000Q4,2001Q1,3.425368515616384
2000Q2,2000Q1,1,2000Q2,2000Q3,3.574269657218143
2000Q2,2000Q1,2,2000Q3,2000Q4,3.357550023030642
2000Q2,2000Q1,4,2001Q1,2001Q2,3.407719335570314
2000Q3,2000Q2,1,2000Q3,2000Q4,3.0625059611795846
2000Q3,2000Q2,2,2000Q4,2001Q1,2.8934402985542507
2000Q3,2000Q2,4,2001Q2,2001Q3,3.4213802116426995
2000Q4,2000Q3,1,2000Q4,2001Q1,2.7243746359289167
2000Q4,2000Q3,2,2001Q1,2001Q2,3.5388850509004866
2000Q4,2000Q3,4,2001Q3,2001Q4,2.7049160510144388
2001Q1,2000Q4,1,2001Q1,2001Q2,4.1960539290965215
2001Q1,2000Q4,2,2001Q2,2001Q3,3.6298963940191387
2001Q1,2000Q4,4,2001Q4,2002Q1,1.8721276349883076
2001Q2,2001Q1,1,2001Q2,2001Q3,3.063738858941756
2001Q2,2001Q1,2,2001Q3,2001Q4,1.870947051128391
2001Q2,2001Q1,4,2002Q1,2002Q2,1.2394497361208234
