Core Consumer Price Index (PCPIX),,,,
"M/M Growth (Annual Rate, Percentage Points)",,,,
"First-Release, Second-Release, Third-Release, and the Most-Recent-Release Values",,,,
,,,,
Date,First,Second,Third,Most_Recent
2014:03,2.4773,,,2.2586
2014:04,2.8722,,,2.2906
2014:05,3.1461,,,2.3379
2014:06,1.5604,,,1.5672
2014:07,1.1553,,,1.8213
2014:08,0.1713,,,1.0631
2014:09,1.6844,,,1.9347
2014:10,2.4659,,,2.0544
2014:11,0.8563,,,1.3478
2014:12,0.0351,,,0.6333
2015:01,2.156,,,1.1429
2015:02,1.8973,,,1.8215
2015:03,2.7615,,,2.9521
2015:04,3.1134,,,2.9858
2015:05,1.7588,,,1.7138
2015:06,2.1705,,,1.8829
2015:07,1.5971,,,2.5121
2015:08,0.8943,,,1.2538
2015:09,2.5662,,,2.4941
2015:10,2.4548,,,2.2521
2015:11,2.1732,,,2.3535
2015:12,1.5394,,,1.5138
2016:01,3.571,,,2.0205
2016:02,3.4443,,,2.753
2016:03,0.8327,,,1.9877
2016:04,2.3609,,,3.1581
2016:05,2.4607,,,2.8897
2016:06,2.064,,,1.9745
2016:07,1.0621,,,1.41
2016:08,3.0701,,,2.9144
2016:09,1.3566,,,2.0428
2016:10,1.8006,,,1.4563
2016:11,1.8273,,,1.6451
2016:12,2.7926,,,2.1321
2017:01,3.7591,,,2.6583
2017:02,2.4972,,,2.5739
2017:03,-1.4515,,,-0.2579
2017:04,0.8592,,,1.3617
2017:05,0.7527,,,0.974
2017:06,1.4322,,,1.5186
2017:07,1.3773,,,1.1452
2017:08,3.0231,,,2.6509
2017:09,1.5312,,,1.3242
2017:10,2.7291,,,3.4422
2017:11,1.4106,,,1.3813
2017:12,3.3711,,,2.5251
2018:01,4.275,,,4.1338
2018:02,2.203,,,2.4102
2018:03,2.1272,,,2.6599
2018:04,1.1773,,,1.694
2018:05,2.0737,,,2.4349
2018:06,1.9607,,,1.1918
2018:07,2.9541,,,1.4076
2018:08,0.9861,,,0.8977
2018:09,1.4035,,,2.2423
2018:10,2.337,,,2.5799
2018:11,2.5409,,,2.4463
2018:12,2.5545,,,2.9247
2019:01,2.9127,,,3.2925
2019:02,1.3337,,,1.95
2019:03,1.7846,,,1.7646
2019:04,1.67,,,1.9907
2019:05,1.3702,,,1.0123
2019:06,3.5886,,,2.4152
2019:07,3.5543,,,2.4991
2019:08,3.1215,,,2.7553
2019:09,1.6011,,,2.3487
2019:10,1.9031,,,2.6738
2019:11,2.7927,,,2.6493
2019:12,1.3683,,,2.1539
2020:01,2.9461,,,3.1852
2020:02,2.708,,,2.9825
2020:03,-1.2287,,,-1.4091
2020:04,-5.2402,,,-5.7217
2020:05,-0.7205,,,-1.4978
2020:06,2.8577,,,1.9938
2020:07,7.7009,,,7.1771
2020:08,4.7252,,,4.7357
2020:09,2.3331,,,2.3085
2020:10,0.1427,,,1.6771
2020:11,2.6656,,,3.0495
2020:12,1.0275,,,1.6119
2021:01,0.3785,,,0.2044
2021:02,1.2245,,,1.8168
2021:03,4.1387,,,2.9916
2021:04,11.5713,,,10.1755
2021:05,9.2154,,,8.2085
2021:06,11.0657,,,9.9496
2021:07,4.0154,,,4.3951
2021:08,1.2281,,,1.5134
2021:09,2.9562,,,3.0571
2021:10,7.4328,,,8.7872
2021:11,6.6075,,,7.661
2021:12,6.8051,,,7.7756
2022:01,7.2283,,,6.8414
2022:02,6.2335,,,6.5318
2022:03,3.9592,,,3.3085
2022:04,7.0487,,,6.2236
2022:05,7.8458,,,6.5893
2022:06,8.8152,,,8.4765
2022:07,3.82,,,4.3192
2022:08,7.0237,,,6.0457
2022:09,7.1334,,,7.0618
2022:10,3.3077,,,4.8234
2022:11,2.4104,,,3.7752
2022:12,3.6922,,,4.356
2023:01,5.0575,,,5.0837
2023:02,5.56,,,6.0329
2023:03,4.7163,,,4.1161
2023:04,5.0223,,,5.5929
2023:05,5.354,,,4.4655
2023:06,1.9072,,,2.6449
2023:07,1.9319,,,2.5116
2023:08,3.3936,,,2.4348
2023:09,3.9448,,,3.7813
2023:10,2.7535,,,3.6056
2023:11,3.4686,,,3.6625
2023:12,3.7722,,,3.1286
2024:01,4.8116,,,4.3926
2024:02,4.3868,,,4.8581
2024:03,4.3946,,,4.771
2024:04,3.5579,,,3.295
2024:05,1.9747,,,1.698
2024:06,0.7798,,,1.1186
2024:07,2.0009,,,2.0927
2024:08,3.4245,,,3.0905
2024:09,3.8141,,,3.7483
2024:10,3.4155,,,3.8024
2024:11,3.7603,,,3.509
2024:12,2.7337,,,2.262
2025:01,5.4895,,,5.2409
2025:02,2.7539,,,3.1001
2025:03,0.6805,,,0.8327
2025:04,2.8783,,,2.9007
2025:05,1.5699,,,1.5771
2025:06,2.7735,,,2.8447
2025:07,3.9375,,,3.8154
2025:08,4.2314,,,3.7806
2025:09,2.7596,,,2.6448
2025:10,,,,
2025:11,,,,
2025:12,2.9088,,,2.8309
2026:01,3.5986,,,3.5986
2026:02,2.6236,,,2.6236
2026:03,2.375,,,2.375
2026:04,4.6122,,,4.6122
2026:05,2.5259,,,2.5259
2026:06,-0.1997,,,-0.1997
