Consumer Price Index Monthly Vintages (PCPI),,,,
"M/M Growth (Annual Rate, Percentage Points)",,,,
"First-Release, Second-Release, Third-Release, and the Most-Recent-Release Values",,,,
,,,,
Date,First,Second,Third,Most_Recent
2014:01,1.7479,,,2.9481
2014:02,1.2121,,,1.329
2014:03,2.43,,,2.4782
2014:04,3.172,,,2.2601
2014:05,4.2929,,,2.3077
2014:06,3.1316,,,1.5969
2014:07,1.0959,,,1.359
2014:08,-2.3993,,,-0.1918
2014:09,1.041,,,0.0859
2014:10,0.0455,,,-0.2372
2014:11,-3.0371,,,-2.2359
2014:12,-4.3798,,,-3.6394
2015:01,-7.8629,,,-7.3822
2015:02,2.634,,,3.0843
2015:03,2.8636,,,3.2811
2015:04,1.2388,,,1.2582
2015:05,5.4667,,,4.0299
2015:06,3.89,,,3.3725
2015:07,1.5911,,,1.9203
2015:08,-0.8434,,,-0.005
2015:09,-1.8254,,,-2.664
2015:10,2.4311,,,1.1939
2015:11,0.3484,,,1.443
2015:12,-1.3224,,,-1.2831
2016:01,0.3332,,,-0.5487
2016:02,-1.9974,,,-1.584
2016:03,1.0806,,,3.8273
2016:04,5.0036,,,4.6949
2016:05,2.6436,,,2.8741
2016:06,2.6224,,,3.3825
2016:07,-0.494,,,-0.6028
2016:08,2.413,,,2.2418
2016:09,3.5573,,,3.1937
2016:10,4.3724,,,2.8477
2016:11,2.433,,,1.4239
2016:12,3.4399,,,3.0718
2017:01,6.8111,,,4.961
2017:02,1.4745,,,1.928
2017:03,-3.4016,,,-0.5592
2017:04,2.0172,,,1.4911
2017:05,-1.5227,,,-0.9248
2017:06,-0.2752,,,0.7848
2017:07,1.2774,,,0.3939
2017:08,4.9369,,,4.7174
2017:09,6.7791,,,6.3027
2017:10,1.3033,,,0.934
2017:11,4.7366,,,3.249
2017:12,1.813,,,2.5578
2018:01,6.6569,,,5.2251
2018:02,1.8156,,,3.279
2018:03,-0.7521,,,0.2311
2018:04,2.6829,,,3.1704
2018:05,2.5344,,,2.7434
2018:06,1.5532,,,1.0867
2018:07,2.0716,,,0.941
2018:08,2.7073,,,2.166
2018:09,0.7075,,,2.503
2018:10,4.0397,,,2.8439
2018:11,0.2328,,,-0.8418
2018:12,-0.6765,,,0.825
2019:01,-0.2372,,,-0.9736
2019:02,2.1098,,,3.6616
2019:03,5.0188,,,4.6337
2019:04,3.8923,,,4.6061
2019:05,0.9312,,,0.2966
2019:06,0.7077,,,-0.3894
2019:07,4.0985,,,2.8049
2019:08,0.6531,,,1.1033
2019:09,0.2719,,,1.8623
2019:10,4.3584,,,3.446
2019:11,3.1463,,,3.4313
2019:12,2.6605,,,3.5512
2020:01,1.7599,,,2.3305
2020:02,1.0716,,,0.5711
2020:03,-4.9649,,,-5.3008
2020:04,-9.1349,,,-9.1009
2020:05,-0.6266,,,-1.0727
2020:06,6.9993,,,5.9746
2020:07,7.2717,,,6.2901
2020:08,4.535,,,4.5707
2020:09,2.4674,,,3.1973
2020:10,0.5363,,,1.4963
2020:11,2.2917,,,2.7634
2020:12,4.4978,,,5.3421
2021:01,3.1223,,,2.9799
2021:02,4.3398,,,4.1518
2021:03,7.701,,,6.4765
2021:04,9.642,,,7.7487
2021:05,8.0106,,,8.2592
2021:06,11.4153,,,10.6403
2021:07,5.8366,,,5.6804
2021:08,3.3425,,,3.4654
2021:09,5.0631,,,5.5679
2021:10,11.926,,,12.1991
2021:11,9.7606,,,10.7779
2021:12,5.7938,,,8.6083
2022:01,8.0214,,,7.5014
2022:02,10.0038,,,8.6357
2022:03,15.9483,,,14.2405
2022:04,4.0567,,,3.7634
2022:05,12.3322,,,11.9949
2022:06,17.0732,,,16.1594
2022:07,-0.2314,,,-0.1789
2022:08,1.4276,,,0.7513
2022:09,4.7312,,,5.2117
2022:10,5.3895,,,6.9242
2022:11,1.1616,,,3.1823
2022:12,-0.9491,,,0.1849
2023:01,6.3844,,,6.5665
2023:02,4.5315,,,4.1927
2023:03,0.6384,,,1.4869
2023:04,4.5038,,,4.1481
2023:05,1.4997,,,1.9549
2023:06,2.1858,,,2.7235
2023:07,2.0208,,,2.374
2023:08,7.8428,,,5.9597
2023:09,4.8535,,,4.7828
2023:10,0.5399,,,1.6526
2023:11,1.1687,,,1.7771
2023:12,3.6973,,,2.3339
2024:01,3.7274,,,3.7837
2024:02,5.4356,,,5.0294
2024:03,4.6324,,,5.4491
2024:04,3.8202,,,2.6361
2024:05,0.069,,,0.5843
2024:06,-0.6722,,,-0.5008
2024:07,1.8751,,,2.0312
2024:08,2.2699,,,1.9031
2024:09,2.1799,,,2.5903
2024:10,2.9683,,,3.482
2024:11,3.8199,,,3.4641
2024:12,4.8208,,,4.1564
2025:01,5.7494,,,5.2494
2025:02,2.6221,,,2.735
2025:03,-0.5988,,,0.3986
2025:04,2.6831,,,1.9574
2025:05,0.9746,,,1.1979
2025:06,3.4986,,,3.0933
2025:07,2.3846,,,2.7749
2025:08,4.6872,,,4.2602
2025:09,3.7901,,,3.5991
2025:10,,,,
2025:11,,,,
2025:12,3.7513,,,3.6326
2026:01,2.0695,,,2.0695
2026:02,3.2515,,,3.2515
2026:03,10.8902,,,10.8902
2026:04,7.9567,,,7.9567
2026:05,5.8249,,,5.8249
2026:06,-4.9536,,,-4.9536
